,anual_total_use_day,date,precipitation,temp_max,temp_media,temp_min,wind_speed,dioxido_nitrogeno,season,weekend,day,month,year
23,2537,2014-07-15,0.0,35.8,28.7,21.6,1.1,20.0,Verano,0,1,7,2014
24,2673,2014-07-16,0.0,37.2,30.0,22.8,0.8,29.0,Verano,0,2,7,2014
25,2651,2014-07-17,0.0,37.3,30.0,22.7,1.9,35.0,Verano,0,3,7,2014
26,2547,2014-07-18,0.0,35.0,29.2,23.4,2.8,28.0,Verano,0,4,7,2014
27,2359,2014-07-19,0.0,23.2,20.3,17.4,3.1,9.0,Verano,1,5,7,2014
28,2371,2014-07-20,0.0,26.2,21.1,16.0,2.8,9.0,Verano,1,6,7,2014
29,2676,2014-07-21,0.0,30.5,23.4,16.4,0.8,18.0,Verano,0,0,7,2014
30,2935,2014-07-22,0.0,34.0,26.4,18.8,1.7,21.0,Verano,0,1,7,2014
31,2927,2014-07-23,0.0,36.0,28.5,21.0,1.9,24.0,Verano,0,2,7,2014
32,3204,2014-07-24,0.0,35.3,29.0,22.7,2.2,20.0,Verano,0,3,7,2014
33,3084,2014-07-25,0.0,34.2,27.0,19.8,1.4,29.0,Verano,0,4,7,2014
34,2467,2014-07-26,0.0,35.3,28.4,21.5,1.4,18.0,Verano,1,5,7,2014
35,2321,2014-07-27,0.0,35.7,28.8,22.0,1.7,13.0,Verano,1,6,7,2014
36,2894,2014-07-28,0.0,35.7,28.8,22.0,1.9,17.0,Verano,0,0,7,2014
37,3168,2014-07-29,0.0,29.7,23.8,18.0,2.5,9.0,Verano,0,1,7,2014
38,3236,2014-07-30,0.0,31.6,23.6,15.5,2.5,15.0,Verano,0,2,7,2014
39,3365,2014-07-31,0.0,34.7,27.4,20.2,3.6,22.0,Verano,0,3,7,2014
40,3048,2014-08-01,0.0,28.0,24.0,20.0,3.1,13.0,Verano,0,4,8,2014
41,2532,2014-08-02,0.0,28.0,23.1,18.2,2.8,8.0,Verano,1,5,8,2014
42,2624,2014-08-03,0.0,29.2,23.4,17.6,1.4,9.0,Verano,1,6,8,2014
1,2813,2014-08-04,0.0,31.8,25.0,18.3,1.7,19.0,Verano,0,0,8,2014
43,2830,2014-08-05,0.0,33.5,27.2,21.0,1.9,14.0,Verano,0,1,8,2014
44,3054,2014-08-06,0.0,34.6,27.6,20.6,2.5,17.0,Verano,0,2,8,2014
45,2967,2014-08-07,0.0,34.9,28.0,21.2,2.5,16.0,Verano,0,3,8,2014
46,2907,2014-08-08,0.0,34.0,27.4,20.7,2.2,17.0,Verano,0,4,8,2014
47,2582,2014-08-09,0.0,32.0,26.5,21.0,2.8,18.0,Verano,1,5,8,2014
48,2687,2014-08-10,0.0,32.2,25.9,19.6,2.5,11.0,Verano,1,6,8,2014
49,2900,2014-08-11,0.0,32.7,26.4,20.0,1.4,16.0,Verano,0,0,8,2014
50,3008,2014-08-12,0.0,34.0,27.3,20.6,3.1,17.0,Verano,0,1,8,2014
51,3102,2014-08-13,0.0,29.4,23.9,18.4,2.5,9.0,Verano,0,2,8,2014
52,2791,2014-08-14,0.0,29.5,22.6,15.7,1.7,10.0,Verano,0,3,8,2014
53,2392,2014-08-15,0.0,31.2,24.3,17.4,1.9,10.0,Verano,0,4,8,2014
54,2254,2014-08-16,0.0,30.4,23.1,15.8,2.2,8.0,Verano,1,5,8,2014
55,2444,2014-08-17,0.0,32.2,24.8,17.5,1.7,11.0,Verano,1,6,8,2014
56,2945,2014-08-18,0.0,32.6,26.9,21.2,1.7,18.0,Verano,0,0,8,2014
57,3155,2014-08-19,0.0,32.8,26.0,19.2,2.8,21.0,Verano,0,1,8,2014
58,3358,2014-08-20,0.0,31.2,24.8,18.3,1.9,16.0,Verano,0,2,8,2014
59,3678,2014-08-21,0.0,30.5,24.4,18.3,2.2,17.0,Verano,0,3,8,2014
60,3419,2014-08-22,0.0,30.5,24.4,18.4,1.7,14.0,Verano,0,4,8,2014
61,3158,2014-08-23,0.0,30.7,23.7,16.7,1.4,13.0,Verano,1,5,8,2014
62,3421,2014-08-24,0.0,31.8,25.2,18.6,1.9,15.0,Verano,1,6,8,2014
63,3556,2014-08-25,0.0,34.0,26.2,18.3,2.2,29.0,Verano,0,0,8,2014
64,3991,2014-08-26,0.0,34.3,27.4,20.6,2.5,14.0,Verano,0,1,8,2014
65,4007,2014-08-27,0.0,34.7,27.4,20.1,1.1,16.0,Verano,0,2,8,2014
66,4125,2014-08-28,0.0,34.4,27.3,20.2,2.5,25.0,Verano,0,3,8,2014
67,4255,2014-08-29,0.0,33.0,26.5,20.0,0.3,18.0,Verano,0,4,8,2014
68,4002,2014-08-30,0.0,32.4,26.6,20.8,1.1,13.0,Verano,1,5,8,2014
69,4323,2014-08-31,0.0,33.6,27.6,21.6,1.1,14.0,Verano,1,6,8,2014
70,4292,2014-09-01,0.0,34.8,28.2,21.5,1.9,20.0,Verano,0,0,9,2014
71,4608,2014-09-02,0.1,36.4,29.4,22.4,2.5,21.0,Verano,0,1,9,2014
72,5163,2014-09-03,0.0,33.3,27.2,21.0,2.8,21.0,Verano,0,2,9,2014
73,5334,2014-09-04,0.0,30.6,24.8,19.0,1.7,15.0,Verano,0,3,9,2014
74,4957,2014-09-05,0.0,32.0,25.0,18.0,1.4,22.0,Verano,0,4,9,2014
75,4791,2014-09-06,0.0,29.4,24.0,18.6,2.5,16.0,Verano,1,5,9,2014
76,4724,2014-09-07,0.0,28.7,23.4,18.1,1.9,15.0,Verano,1,6,9,2014
77,4917,2014-09-08,0.0,29.6,23.6,17.5,1.7,19.0,Verano,0,0,9,2014
78,5209,2014-09-09,0.0,30.2,24.1,18.0,1.7,21.0,Verano,0,1,9,2014
79,5297,2014-09-10,0.0,30.7,25.2,19.6,1.4,22.0,Verano,0,2,9,2014
80,5246,2014-09-11,0.0,28.5,23.2,18.0,2.8,13.0,Verano,0,3,9,2014
81,5339,2014-09-12,0.0,30.0,23.3,16.6,1.4,17.0,Verano,0,4,9,2014
82,4827,2014-09-13,0.0,30.4,24.1,17.8,1.1,20.0,Verano,1,5,9,2014
83,4978,2014-09-14,2.0,28.5,22.6,16.8,1.9,17.0,Verano,1,6,9,2014
84,5022,2014-09-15,0.0,25.2,20.2,15.2,1.4,15.0,Verano,0,0,9,2014
85,5021,2014-09-16,1.7,27.3,22.0,16.8,2.8,21.0,Verano,0,1,9,2014
86,4739,2014-09-17,0.2,25.6,21.0,16.3,2.2,16.0,Verano,0,2,9,2014
87,4319,2014-09-18,4.6,24.0,19.7,15.4,1.7,20.0,Verano,0,3,9,2014
88,4858,2014-09-19,0.3,22.0,18.2,14.4,1.7,19.0,Verano,0,4,9,2014
89,5028,2014-09-20,0.0,24.6,19.8,15.0,1.1,20.0,Verano,1,5,9,2014
90,4955,2014-09-21,11.0,27.0,21.3,15.6,1.9,15.0,Otoño,1,6,9,2014
91,4750,2014-09-22,0.0,23.5,18.9,14.3,1.4,20.0,Otoño,0,0,9,2014
92,5403,2014-09-23,1.1,23.0,18.6,14.2,1.4,16.0,Otoño,0,1,9,2014
93,4867,2014-09-24,1.9,21.4,17.5,13.6,0.8,24.0,Otoño,0,2,9,2014
94,5904,2014-09-25,0.0,22.4,17.0,11.6,1.4,22.0,Otoño,0,3,9,2014
95,5595,2014-09-26,0.0,23.5,18.5,13.5,1.4,27.0,Otoño,0,4,9,2014
96,5083,2014-09-27,1.6,22.6,18.8,15.0,3.1,20.0,Otoño,1,5,9,2014
97,4008,2014-09-28,0.5,19.5,17.2,15.0,0.8,15.0,Otoño,1,6,9,2014
98,4976,2014-09-29,0.0,23.3,18.8,14.2,1.1,24.0,Otoño,0,0,9,2014
99,5616,2014-09-30,0.0,25.5,19.6,13.6,1.1,30.0,Otoño,0,1,9,2014
100,5894,2014-10-01,0.0,25.7,20.8,15.8,1.9,19.0,Otoño,0,2,10,2014
101,6050,2014-10-02,0.0,24.6,20.6,16.6,0.8,20.0,Otoño,0,3,10,2014
102,6325,2014-10-03,0.0,25.4,20.6,15.7,1.1,22.0,Otoño,0,4,10,2014
103,6017,2014-10-04,0.0,26.1,20.3,14.5,1.7,26.0,Otoño,1,5,10,2014
104,5720,2014-10-05,0.0,24.8,20.1,15.4,2.5,20.0,Otoño,1,6,10,2014
105,5427,2014-10-06,0.0,23.7,18.2,12.8,1.7,23.0,Otoño,0,0,10,2014
106,5751,2014-10-07,0.0,23.7,18.6,13.6,3.3,15.0,Otoño,0,1,10,2014
107,6037,2014-10-08,0.7,23.5,18.9,14.3,2.2,20.0,Otoño,0,2,10,2014
108,3697,2014-10-09,38.9,20.0,17.6,15.3,2.5,16.0,Otoño,0,3,10,2014
109,4669,2014-10-10,2.2,19.2,16.6,14.0,0.8,25.0,Otoño,0,4,10,2014
110,4292,2014-10-11,14.8,20.2,17.2,14.2,1.1,17.0,Otoño,1,5,10,2014
111,4625,2014-10-12,2.5,18.8,15.5,12.2,2.5,11.0,Otoño,1,6,10,2014
112,4443,2014-10-13,11.7,15.8,13.6,11.5,3.3,14.0,Otoño,0,0,10,2014
113,4009,2014-10-14,1.1,15.8,12.7,9.6,1.7,22.0,Otoño,0,1,10,2014
114,5513,2014-10-15,0.0,15.8,12.6,9.3,1.7,20.0,Otoño,0,2,10,2014
115,5946,2014-10-16,0.0,20.7,18.0,15.2,2.2,18.0,Otoño,0,3,10,2014
116,6839,2014-10-17,0.0,22.0,17.9,13.8,0.8,19.0,Otoño,0,4,10,2014
117,6265,2014-10-18,0.0,25.4,19.6,13.8,1.1,24.0,Otoño,1,5,10,2014
118,5941,2014-10-19,0.0,25.2,20.8,16.4,2.5,22.0,Otoño,1,6,10,2014
119,5732,2014-10-20,0.0,24.7,20.0,15.2,1.4,27.0,Otoño,0,0,10,2014
120,6145,2014-10-21,0.0,26.5,20.0,13.4,1.1,28.0,Otoño,0,1,10,2014
121,6309,2014-10-22,0.0,23.5,19.4,15.2,1.9,26.0,Otoño,0,2,10,2014
122,6321,2014-10-23,0.0,23.6,16.8,10.0,0.6,51.0,Otoño,0,3,10,2014
123,6575,2014-10-24,0.0,26.0,19.6,13.3,1.4,43.0,Otoño,0,4,10,2014
124,6209,2014-10-25,0.0,25.2,20.4,15.6,1.1,30.0,Otoño,1,5,10,2014
125,6004,2014-10-26,0.0,24.5,19.4,14.4,1.4,28.0,Otoño,1,6,10,2014
126,5635,2014-10-27,0.0,22.3,17.8,13.4,0.6,41.0,Otoño,0,0,10,2014
127,5873,2014-10-28,0.0,20.5,16.2,11.8,0.6,48.0,Otoño,0,1,10,2014
128,5967,2014-10-29,0.0,22.6,17.9,13.2,0.6,49.0,Otoño,0,2,10,2014
129,6099,2014-10-30,0.0,23.5,18.0,12.6,0.0,52.0,Otoño,0,3,10,2014
130,6021,2014-10-31,0.0,22.4,17.9,13.4,1.4,40.0,Otoño,0,4,10,2014
131,5219,2014-11-01,0.0,20.3,15.8,11.4,1.1,40.0,Otoño,1,5,11,2014
132,4170,2014-11-02,5.3,18.8,14.7,10.6,1.4,30.0,Otoño,1,6,11,2014
133,3509,2014-11-03,14.4,14.7,12.4,10.0,2.5,21.0,Otoño,0,0,11,2014
134,4361,2014-11-04,0.0,12.0,9.7,7.4,2.8,16.0,Otoño,0,1,11,2014
135,4998,2014-11-05,0.0,13.2,9.3,5.4,2.2,21.0,Otoño,0,2,11,2014
136,5057,2014-11-06,0.2,14.5,10.0,5.5,1.4,23.0,Otoño,0,3,11,2014
137,4471,2014-11-07,0.5,17.2,13.6,10.1,2.5,20.0,Otoño,0,4,11,2014
138,3629,2014-11-08,1.0,14.0,11.4,8.8,2.8,18.0,Otoño,1,5,11,2014
139,3453,2014-11-09,0.0,12.6,8.8,5.0,3.1,16.0,Otoño,1,6,11,2014
140,3156,2014-11-10,8.7,11.5,7.2,3.0,1.4,29.0,Otoño,0,0,11,2014
141,2578,2014-11-11,10.6,11.6,9.3,7.0,1.1,29.0,Otoño,0,1,11,2014
142,4628,2014-11-12,0.0,14.4,11.5,8.6,3.1,19.0,Otoño,0,2,11,2014
143,4003,2014-11-13,4.1,15.5,12.0,8.5,1.4,26.0,Otoño,0,3,11,2014
144,3485,2014-11-14,1.3,14.3,11.2,8.2,3.1,18.0,Otoño,0,4,11,2014
145,3737,2014-11-15,0.2,11.7,9.2,6.6,3.6,11.0,Otoño,1,5,11,2014
146,3786,2014-11-16,0.1,12.0,8.8,5.7,2.5,13.0,Otoño,1,6,11,2014
147,3971,2014-11-17,0.0,13.4,9.4,5.4,1.7,22.0,Otoño,0,0,11,2014
148,4086,2014-11-18,0.0,10.4,7.0,3.6,0.3,38.0,Otoño,0,1,11,2014
149,4578,2014-11-19,0.0,14.5,10.8,7.1,1.9,39.0,Otoño,0,2,11,2014
150,4878,2014-11-20,0.0,18.4,14.0,9.5,2.5,29.0,Otoño,0,3,11,2014
151,5042,2014-11-21,0.0,15.4,12.1,8.8,1.4,27.0,Otoño,0,4,11,2014
152,4560,2014-11-22,0.0,17.5,14.4,11.2,1.7,22.0,Otoño,1,5,11,2014
153,3629,2014-11-23,3.0,16.4,14.7,13.0,1.1,18.0,Otoño,1,6,11,2014
154,4131,2014-11-24,0.0,17.3,14.4,11.5,0.8,20.0,Otoño,0,0,11,2014
155,3753,2014-11-25,4.5,16.0,12.8,9.6,0.8,17.0,Otoño,0,1,11,2014
156,4462,2014-11-26,0.1,12.4,10.7,9.0,1.7,16.0,Otoño,0,2,11,2014
157,3260,2014-11-27,5.9,11.5,9.6,7.8,1.9,23.0,Otoño,0,3,11,2014
158,2133,2014-11-28,11.8,10.4,9.2,8.0,2.8,22.0,Otoño,0,4,11,2014
159,3137,2014-11-29,1.1,10.6,9.3,8.0,1.1,20.0,Otoño,1,5,11,2014
160,3703,2014-11-30,1.1,15.3,11.4,7.6,0.8,18.0,Otoño,1,6,11,2014
161,4225,2014-12-01,0.0,16.2,12.1,8.0,1.9,17.0,Otoño,0,0,12,2014
162,4573,2014-12-02,0.0,14.1,10.0,5.9,1.4,19.0,Otoño,0,1,12,2014
163,4350,2014-12-03,0.0,10.4,8.3,6.2,0.8,18.0,Otoño,0,2,12,2014
164,4546,2014-12-04,0.0,10.5,8.0,5.4,0.8,16.0,Otoño,0,3,12,2014
165,4533,2014-12-05,0.0,11.5,7.8,4.2,1.4,20.0,Otoño,0,4,12,2014
166,3114,2014-12-06,0.2,10.0,6.3,2.6,1.4,15.0,Otoño,1,5,12,2014
167,2986,2014-12-07,0.0,10.4,6.0,1.7,1.4,12.0,Otoño,1,6,12,2014
168,3045,2014-12-08,0.0,10.4,5.6,0.8,0.8,14.0,Otoño,0,0,12,2014
169,3673,2014-12-09,0.0,10.4,6.8,3.2,1.1,13.0,Otoño,0,1,12,2014
170,4189,2014-12-10,0.0,11.5,6.8,2.2,0.3,13.0,Otoño,0,2,12,2014
171,4490,2014-12-11,0.0,11.8,6.9,2.0,0.3,12.0,Otoño,0,3,12,2014
172,4761,2014-12-12,0.0,10.5,6.2,1.9,0.8,0.0,Otoño,0,4,12,2014
173,2676,2014-12-13,16.7,11.8,8.4,5.0,2.5,43.0,Otoño,1,5,12,2014
174,1740,2014-12-14,5.9,8.8,7.9,7.0,1.1,38.0,Otoño,1,6,12,2014
175,3960,2014-12-15,0.0,11.0,8.3,5.6,1.7,47.0,Otoño,0,0,12,2014
176,4378,2014-12-16,0.0,12.4,8.2,3.9,0.6,69.0,Otoño,0,1,12,2014
177,4547,2014-12-17,0.0,12.6,8.3,4.0,0.6,72.0,Otoño,0,2,12,2014
178,4828,2014-12-18,0.0,13.4,8.4,3.4,0.6,83.0,Otoño,0,3,12,2014
179,5126,2014-12-19,0.0,12.2,7.8,3.3,0.6,79.0,Otoño,0,4,12,2014
180,4454,2014-12-20,0.0,13.2,7.3,1.4,0.8,58.0,Otoño,1,5,12,2014
181,4027,2014-12-21,0.0,12.2,8.7,5.2,1.1,40.0,Invierno,1,6,12,2014
182,3962,2014-12-22,0.0,13.3,9.0,4.6,1.4,55.0,Invierno,0,0,12,2014
183,3960,2014-12-23,0.0,11.2,7.5,3.8,0.8,67.0,Invierno,0,1,12,2014
184,2765,2014-12-24,0.0,10.0,5.5,1.0,0.3,57.0,Invierno,0,2,12,2014
185,2073,2014-12-25,0.0,11.2,7.1,3.0,1.7,39.0,Invierno,0,3,12,2014
186,3171,2014-12-26,0.0,11.2,6.4,1.6,0.3,58.0,Invierno,0,4,12,2014
187,3079,2014-12-27,0.0,8.8,5.4,2.1,1.4,49.0,Invierno,1,5,12,2014
188,2471,2014-12-28,0.0,11.2,7.3,3.4,2.8,22.0,Invierno,1,6,12,2014
189,3060,2014-12-29,0.0,8.9,5.2,1.6,3.3,40.0,Invierno,0,0,12,2014
190,3262,2014-12-30,0.0,9.3,3.7,-1.9,0.6,72.0,Invierno,0,1,12,2014
191,2609,2014-12-31,0.0,9.4,3.9,-1.6,0.8,89.0,Invierno,0,2,12,2014
192,2018,2015-01-01,0.0,10.4,4.7,-1.0,0.8,81.0,Invierno,0,3,1,2015
193,2880,2015-01-02,0.0,12.0,5.5,-1.0,0.6,89.0,Invierno,0,4,1,2015
194,3187,2015-01-03,0.0,11.4,6.3,1.2,0.3,76.0,Invierno,1,5,1,2015
195,3296,2015-01-04,0.0,14.0,7.7,1.4,0.3,86.0,Invierno,1,6,1,2015
196,4039,2015-01-05,0.0,12.0,6.8,1.5,1.4,78.0,Invierno,0,0,1,2015
197,2651,2015-01-06,0.0,9.8,5.3,0.8,0.8,68.0,Invierno,0,1,1,2015
198,3821,2015-01-07,0.0,10.7,5.8,0.8,1.1,85.0,Invierno,0,2,1,2015
199,4333,2015-01-08,0.0,12.3,6.4,0.4,0.8,77.0,Invierno,0,3,1,2015
200,4832,2015-01-09,0.0,13.5,7.8,2.0,0.3,92.0,Invierno,0,4,1,2015
201,4494,2015-01-10,0.0,12.6,7.2,1.7,0.8,73.0,Invierno,1,5,1,2015
202,4209,2015-01-11,0.0,13.7,8.0,2.4,0.8,65.0,Invierno,1,6,1,2015
203,4241,2015-01-12,0.0,11.8,7.7,3.6,1.1,54.0,Invierno,0,0,1,2015
204,4365,2015-01-13,0.0,12.4,7.4,2.4,1.4,58.0,Invierno,0,1,1,2015
205,4319,2015-01-14,0.0,8.2,5.3,2.4,0.6,62.0,Invierno,0,2,1,2015
206,3637,2015-01-15,6.1,10.8,7.9,5.0,1.4,50.0,Invierno,0,3,1,2015
207,4236,2015-01-16,0.0,8.0,5.3,2.6,2.2,36.0,Invierno,0,4,1,2015
208,3930,2015-01-17,0.0,8.5,3.7,-1.1,1.7,40.0,Invierno,1,5,1,2015
209,2323,2015-01-18,6.8,3.5,1.9,0.3,0.6,33.0,Invierno,1,6,1,2015
210,3309,2015-01-19,0.0,7.2,3.9,0.6,4.4,39.0,Invierno,0,0,1,2015
211,3698,2015-01-20,0.0,6.5,3.4,0.2,0.8,60.0,Invierno,0,1,1,2015
212,3473,2015-01-21,0.4,5.6,3.2,0.8,1.7,45.0,Invierno,0,2,1,2015
213,4202,2015-01-22,0.0,8.4,5.1,1.8,2.5,35.0,Invierno,0,3,1,2015
214,4601,2015-01-23,0.0,9.8,5.1,0.4,2.8,60.0,Invierno,0,4,1,2015
215,4473,2015-01-24,0.0,10.7,4.6,-1.4,0.0,59.0,Invierno,1,5,1,2015
216,4085,2015-01-25,0.0,12.6,7.2,1.8,1.7,39.0,Invierno,1,6,1,2015
217,4172,2015-01-26,0.0,12.9,6.7,0.5,0.8,62.0,Invierno,0,0,1,2015
218,4451,2015-01-27,0.0,13.3,7.6,2.0,1.1,51.0,Invierno,0,1,1,2015
219,4911,2015-01-28,0.0,12.8,7.0,1.3,0.3,62.0,Invierno,0,2,1,2015
220,4745,2015-01-29,0.0,12.2,8.0,3.9,2.8,44.0,Invierno,0,3,1,2015
221,3938,2015-01-30,3.7,15.4,12.5,9.6,4.2,20.0,Invierno,0,4,1,2015
222,3831,2015-01-31,0.0,10.8,7.1,3.4,5.6,16.0,Invierno,1,5,1,2015
223,3487,2015-02-01,0.0,8.0,4.9,1.8,3.3,13.0,Invierno,1,6,2,2015
224,2786,2015-02-02,2.6,5.1,4.2,3.2,2.8,28.0,Invierno,0,0,2,2015
225,3182,2015-02-03,4.3,9.6,5.8,2.0,2.5,23.0,Invierno,0,1,2,2015
226,3805,2015-02-04,0.0,5.1,2.8,0.4,4.4,24.0,Invierno,0,2,2,2015
227,3943,2015-02-05,0.0,5.6,3.1,0.6,3.6,20.0,Invierno,0,3,2,2015
228,4249,2015-02-06,0.0,5.7,2.6,-0.4,2.2,27.0,Invierno,0,4,2,2015
229,3452,2015-02-07,0.0,3.4,1.2,-1.0,1.4,35.0,Invierno,1,5,2,2015
230,3660,2015-02-08,0.0,8.5,3.4,-1.7,1.1,24.0,Invierno,1,6,2,2015
231,4023,2015-02-09,0.0,10.4,5.5,0.6,2.8,26.0,Invierno,0,0,2,2015
232,4402,2015-02-10,0.0,9.0,5.9,2.8,1.9,33.0,Invierno,0,1,2,2015
233,4411,2015-02-11,0.0,8.6,6.6,4.5,1.7,37.0,Invierno,0,2,2,2015
234,4942,2015-02-12,0.0,11.6,7.9,4.2,1.4,38.0,Invierno,0,3,2,2015
235,5015,2015-02-13,0.0,12.2,7.4,2.7,2.8,28.0,Invierno,0,4,2,2015
236,4139,2015-02-14,4.3,12.3,9.5,6.7,3.1,15.0,Invierno,1,5,2,2015
237,3800,2015-02-15,0.0,14.8,10.8,6.7,2.8,16.0,Invierno,1,6,2,2015
238,4502,2015-02-16,6.9,13.1,9.6,6.0,1.1,24.0,Invierno,0,0,2,2015
239,4564,2015-02-17,0.0,11.8,8.1,4.4,4.7,18.0,Invierno,0,1,2,2015
240,4770,2015-02-18,0.0,10.8,7.2,3.7,3.1,23.0,Invierno,0,2,2,2015
241,5034,2015-02-19,0.0,12.6,7.6,2.6,1.1,31.0,Invierno,0,3,2,2015
242,4988,2015-02-20,3.4,11.3,6.7,2.1,0.8,36.0,Invierno,0,4,2,2015
243,4259,2015-02-21,0.0,13.0,9.0,5.0,2.2,15.0,Invierno,1,5,2,2015
244,4537,2015-02-22,0.0,13.8,8.0,2.2,2.5,22.0,Invierno,1,6,2,2015
245,4514,2015-02-23,0.0,13.7,10.2,6.6,4.2,17.0,Invierno,0,0,2,2015
246,4608,2015-02-24,0.0,11.5,7.8,4.2,3.9,15.0,Invierno,0,1,2,2015
247,5067,2015-02-25,0.0,14.3,9.2,4.1,3.6,17.0,Invierno,0,2,2,2015
248,5442,2015-02-26,0.0,13.4,10.0,6.6,2.2,25.0,Invierno,0,3,2,2015
249,5906,2015-02-27,0.0,14.3,10.8,7.4,1.9,23.0,Invierno,0,4,2,2015
250,5491,2015-02-28,0.0,16.4,10.1,3.8,1.4,23.0,Invierno,1,5,2,2015
251,5548,2015-03-01,0.0,18.7,14.2,9.6,2.5,14.0,Invierno,1,6,3,2015
252,5017,2015-03-02,0.0,18.1,13.1,8.1,1.4,19.0,Invierno,0,0,3,2015
253,5289,2015-03-03,0.0,17.2,13.2,9.1,0.3,33.0,Invierno,0,1,3,2015
254,5353,2015-03-04,0.0,15.2,10.1,5.0,3.1,38.0,Invierno,0,2,3,2015
255,5511,2015-03-05,0.0,14.5,8.4,2.3,2.2,37.0,Invierno,0,3,3,2015
256,6177,2015-03-06,0.0,18.3,11.4,4.6,1.7,52.0,Invierno,0,4,3,2015
257,6461,2015-03-07,0.0,21.6,13.3,5.0,0.8,73.0,Invierno,1,5,3,2015
258,6235,2015-03-08,0.0,22.2,14.2,6.1,0.8,57.0,Invierno,1,6,3,2015
259,5635,2015-03-09,0.0,21.7,13.8,6.0,0.8,60.0,Invierno,0,0,3,2015
260,6264,2015-03-10,0.0,22.6,15.4,8.2,1.9,66.0,Invierno,0,1,3,2015
261,6516,2015-03-11,0.0,22.4,14.3,6.2,1.1,78.0,Invierno,0,2,3,2015
262,6570,2015-03-12,0.0,21.5,14.8,8.0,0.8,75.0,Invierno,0,3,3,2015
263,6749,2015-03-13,0.0,18.0,13.3,8.6,3.9,48.0,Invierno,0,4,3,2015
264,5793,2015-03-14,0.0,13.7,9.0,4.4,3.3,18.0,Invierno,1,5,3,2015
265,4521,2015-03-15,0.0,9.3,5.8,2.4,1.4,22.0,Invierno,1,6,3,2015
266,5037,2015-03-16,0.0,12.5,6.8,1.2,1.4,40.0,Invierno,0,0,3,2015
267,5413,2015-03-17,0.0,13.6,9.2,4.8,1.9,46.0,Invierno,0,1,3,2015
268,3305,2015-03-18,9.0,9.1,6.2,3.2,2.5,40.0,Invierno,0,2,3,2015
269,3953,2015-03-19,0.4,11.9,8.8,5.8,3.6,23.0,Invierno,0,3,3,2015
270,3911,2015-03-20,4.7,13.1,10.6,8.2,5.6,26.0,Invierno,0,4,3,2015
271,3128,2015-03-21,2.5,11.6,9.2,6.8,2.5,25.0,Primavera,1,5,3,2015
272,3619,2015-03-22,5.2,12.5,10.1,7.7,1.9,25.0,Primavera,1,6,3,2015
273,1853,2015-03-23,14.8,8.5,7.2,6.0,1.4,54.0,Primavera,0,0,3,2015
274,5191,2015-03-24,0.0,14.0,10.0,6.1,4.2,30.0,Primavera,0,1,3,2015
275,5312,2015-03-25,0.0,10.3,6.9,3.5,5.6,19.0,Primavera,0,2,3,2015
276,6068,2015-03-26,0.0,14.7,8.6,2.5,2.2,30.0,Primavera,0,3,3,2015
277,7219,2015-03-27,0.0,20.5,14.6,8.6,1.1,32.0,Primavera,0,4,3,2015
278,6947,2015-03-28,0.0,25.0,16.8,8.6,1.7,46.0,Primavera,1,5,3,2015
